iter	RMSE
0	2.275360713
1	2.111462058
2	1.95930923
3	1.820651544
4	1.69278475
5	1.575080242
6	1.46669103
7	1.368172081
8	1.278327477
9	1.198524157
10	1.124720474
11	1.057551392
12	0.9976314285
13	0.9407405741
14	0.8894528994
15	0.8450113946
16	0.8051004425
17	0.7704837245
18	0.7378714894
19	0.7081897391
20	0.6814255562
21	0.6580815011
22	0.6367466847
23	0.6176259462
24	0.6004344318
25	0.585058098
26	0.5721603433
27	0.5596997994
28	0.5489429166
29	0.5392064512
30	0.5311665665
31	0.5231550263
32	0.5157672961
33	0.509070695
34	0.5034384619
35	0.4986280586
36	0.4944543575
37	0.4905652427
38	0.4871300511
39	0.4836485841
40	0.4803815579
41	0.477522056
42	0.4746914753
43	0.4721417976
44	0.4702074004
45	0.4681805575
46	0.4653943948
47	0.4624020315
48	0.4607119512
49	0.4580947209
50	0.4564784401
51	0.4537708199
52	0.4520088736
53	0.4498986703
54	0.4486371702
55	0.4470021875
56	0.4454157924
57	0.4435617371
58	0.4415739226
59	0.4398401654
60	0.438627293
61	0.4373469848
62	0.4362010325
63	0.4350494661
64	0.4333123343
65	0.4318986391
66	0.4303453025
67	0.4291501074
68	0.4276359512
69	0.4266281468
70	0.4256192966
71	0.4245095465
72	0.4233883632
73	0.4225435855
74	0.4214950128
