iter	Passed	Remaining
0	1	126
1	2	105
2	4	100
3	5	96
4	6	92
5	7	88
6	8	86
7	10	84
8	12	88
9	13	86
10	14	83
11	15	80
12	16	78
13	17	76
14	18	74
15	19	73
16	20	71
17	22	69
18	23	68
19	24	66
20	25	65
21	26	63
22	27	62
23	28	61
24	29	59
25	31	58
26	32	57
27	33	55
28	34	54
29	35	53
30	36	51
31	37	50
32	38	49
33	40	48
34	41	47
35	42	45
36	43	44
37	44	43
38	45	41
39	46	40
40	47	39
41	48	38
42	49	36
43	50	35
44	51	34
45	52	33
46	53	32
47	54	30
48	55	29
49	56	28
50	58	27
51	59	26
52	60	25
53	61	23
54	62	22
55	63	21
56	64	20
57	65	19
58	66	18
59	68	17
60	69	15
61	70	14
62	71	13
63	72	12
64	73	11
65	74	10
66	75	8
67	76	7
68	77	6
69	78	5
70	79	4
71	80	3
72	81	2
73	82	1
74	83	0
